"ABA","ABA 脱落酸"
"allograft","allograft 同种异体移植"
"allograft rejection","allograft rejection 同种异体移植排斥"
"allogroup","allogroup 同种异型组"
"allohaploid","allohaploid 异源单倍体"
"alloheteroploid","alloheteroploid 异源异倍体"
"alloheteroploid","alloheteroploid 异源异倍体"
"alloheteroploidy","alloheteroploidy 异源异倍性"
"allophycocyanin","allophycocyanin 别藻蓝蛋白，别藻蓝素"
"allophycocyanin","APC
allophycocyanin
APC 别藻蓝蛋白"
"alloploid","alloploid 异源倍体"
"alloploidy","alloploidy 异源倍性"
"allopolyhaploid","allopolyhaploid 异源多倍单倍体"
"allopolyploid","allopolyploid 异源多倍体"
"allopolyploid","allopolyploid 异源多倍体"
"allopolyploidy","allopolyploidy 异源多倍性"
"allopurinol","allopurinol 别嘌呤醇"
"allopurinol nucleotide","allopurinol nucleotide 别嘌呤醇核苷酸"
"alloreactivity","alloreactivity 同种异体反应性"
"allorecognition","allorecognition 同种（异体）识别"
"all or none","all or none 全或无"
"all or nothing","all or nothing 全或无"
"allose","allose 阿洛糖"
"allosome","allosome 异染色体"
"allosome","heterochromosome
allosome
heterochromosome 异染色体"
"allosteric activation","allosteric activation 别构激活，别构活化"
"allosteric activator","allosteric activator 别构激活剂，别构活化剂"
"allosteric control","allosteric control 别构调节"
"allosteric effect","allosteric effect 别构效应"
"allosteric effector","allosteric effector 别构剂"
"allosteric enzyme","allosteric enzyme 别构酶"
"allosteric inbibition","allosteric inbibition 别构抑制"
"allosteric inbibitor","allosteric inbibitor 别构抑制剂"
"allosteric interaction","allosteric interaction 别构作用"
"allosteric ligand","allosteric ligand 别构配体"
"allosteric protein","allosteric protein 别构蛋白"
"allosteric regulation","allosteric regulation 别构调节"
"allosteric site","allosteric site 别构部位"
"allosteric transition","allosteric transition 别构转换[由别构剂所引起的蛋白质构象变化]"
"allosterism","allosterism 别构，变构"
"allostery","allostery 别构性"
"allosynapsis","allosynapsis 异源联会"
"allosynapsis","allosynapsis 异源联会"
"allotope","allotope 同种异型位"
"allotrope","allotrope 同素异形体"
"allotrtraploid","allotrtraploid 异源四倍体"
"allotype","allotype 同种异型"
"allotype","allotype 同种异型"
"allotypic antigen","allotypic antigen 同种异型抗原"
"allotypic determinant","allotypic determinant 同种异型决定簇"
"allotypic marker","allotypic marker 同种异型标记"
"allotypy","allotypy 同种异型性"
"alloxan","alloxan 四氧嘧啶"
"allozyme","allozyme 同种异型酶"
"all transconfiguration","all transconfiguration 全反构型"
"allyl","allyl 烯丙基"
"allyl resin","allyl resin 烯丙基树脂"
"allysine","allysine 醛（基）赖氨酸"
"alphavirus","alphavirus 甲病毒属[属于披膜病毒科]"
"alternate segregation","alternate segregation 相间分离"
"alternating copolymer","alternating copolymer 交替共聚物"
"alternating copolymerization","alternating copolymerization 交替共聚合"
"alternation of generations","alternation of generations 世代交替"
"alternative","alternative 另一种的，交替的，备择的"
"alternative complement pathway","alternative complement pathway 补体旁路"
"alternative complement pathway","alternative complement pathway 补体旁路"
"alternatively spliced mRNA","alternatively spliced mRNA 可变剪接的mRNA"
"alternative pathway of complement","alternative pathway of complement 补体旁路（途径）"
"alternative polyadenylation","alternative polyadenylation 可变聚腺苷酸化"
"alternative RNA processing","alternative RNA processing 可变RNA加工"
"alternative RNA splicing","alternative RNA splicing 可变RNA剪接，旁路RNA剪接"
"alternative splicing","alternative splicing 可变剪接，旁路剪接"
"alternative splicing factor","alternative splicing factor 可变剪接因子"
"alternative transcription","alternative transcription 可变转录"
"alternative transcription initiation","alternative transcription initiation 可变转录起始"
"altrose","altrose 阿卓糖"
"Alu family","Alu family Alu家族"
"alum","alum 矾，明矾"
"aluminia","aluminia 氧化铝，矾土"
"alveolar gas exchange","alveolar gas exchange 肺泡气体交换"
"alveolar surfactant","alveolar surfactant 肺泡表面活性物质"
"alytensin","alytensin 产婆蟾（紧张）肽"
"Alzheimer disease","Alzheimer disease 阿尔茨海默病，老年性痴呆"
"amaerobic","amaerobic 厌氧的"
"amalgam","amalgam 汞齐"
"amalgam electrode","amalgam electrode 汞齐电极"
"amanin","amanin 鹅膏素"
"amanitine","amanitine 鹅膏毒环肽"
"amantadine","amantadine 金刚胺"
"amanullin","amanullin 鹅膏无毒环肽"
"amaryllidaceae alkaloid","amaryllidaceae alkaloid 石蒜科生物碱"
"amastatin","amastatin 氨肽酶抑制剂，抑氨肽酶肽"
"amatoxin","amatoxin 鹅膏毒素"
"amber codon","amber codon 琥珀密码子[即UAA终止密码子]"
"Amberlite resin","Amberlite resin [商]Amberlite树脂，琥石树脂[Rohm&Haas公司离子交换树脂的商品名]"
"amber mutant","amber mutant 琥珀突变体，琥珀突变型"
"amber mutation","amber mutation 琥珀突变"
"amber suppression","amber suppression 琥珀抑制"
"amber suppressor","amber suppressor 琥珀（突变）抑制基因，琥珀（突变）抑制因子"
"ambident","ambident 两可的"
"ambident ion","ambident ion 两可离子"
"ambient","ambient 周围的"
"ambient temperature","ambient temperature 环境温度，室温"
"ambiguous codon","ambiguous codon 多义密码子"
"ambisense","ambisense 双义"
"ambisense genome","ambisense genome 双义基因组"
"ambisense RNA","ambisense RNA 双义RNA[同时编码蛋白质的病毒正链与负链RNA]"
"amboceper","amboceper 双纳体[既有绵羊红细胞结合位点又有补体结合位点的抗体]"
"ambutyrosin","ambutyrosin 氨丁苷菌素"
"amensalism","amensalism 偏害共栖"
"American Type Culture Collection","American Type Culture Collection 美国模式培养物保藏所"
"amerol","amerol 杀草强，氨基三唑"
"Ames test","Ames test 埃姆斯试验"
"amethopterin","methotrexate
amethopterin
methotrexate 氨甲蝶呤"
"amethopterin","amethopterin 氨甲蝶呤"
"amicetin","amicetin 友菌素"
"amicillin resistance","amicillin resistance 氨苄青霉素抗性"
"amidase","amidase 酰胺酶"
"amidated peptide","amidated peptide 酰胺（化）肽"
"amide","amide 酰胺"
"amidine","amidine 脒"
"amido black","amido black 酰胺黑[可用于蛋白质SDS-聚丙烯酰胺凝胶的染色]"
"amido bond","amido bond 酰胺键"
"amido link","amido link 酰胺键"
"amido linkage","amido linkage 酰胺键"
"amidomycin","amidomycin 胺霉素"
"amidotrizoate","amidotrizoate ""3,5-双乙酰氨基-2,4,6-三碘苯甲酸盐"""
"amiloride","amiloride 氨氯吡嗪脒[利尿药]"
"amination","amination 氨基化"
"amine","amine 胺"
"amine bormones","amine bormones 胺类激素"
"amine precursor uptake and decarboxylation system","amine precursor uptake and decarboxylation system 胺前体摄取（和）脱羧系统，APUD系统[可提取胺前体并进行脱羧而产生肽类或活性胺的细胞系统]"
"amine transporter","amine transporter 胺转运蛋白"
"Aminex resin","Aminex resin [商]Aminex树脂[Bio-Rad公司离子交换树脂的商品名，一类HPLC级球形介质，是带功能基的苯乙烯—二乙烯苯共聚物]"
"amino","amino 氨基"
"amino acid arm","amino acid arm 氨基酸臂[位于tRNA上]"
"amino acid frequency","amino acid frequency 氨基酸（使用）频率"
"amino acid preference","amino acid preference 氨基酸偏爱性"
"amino acid residue","amino acid residue 氨基酸残基"
"amino acid residue contact","amino acid residue contact 氨基酸残基接触（面）"
"amino acid transport","amino acid transport 氨基酸转运"
"amino acid transporter","amino acid transporter 氨基酸转运蛋白"
"amino acid usage","amino acid usage 氨基酸使用"
"aminoacyl","aminoacyl 氨酰基"
"aminoacylation","aminoacylation 氨酰化"
"aminoacyl esterase","aminoacyl esterase 氨酰酯酶"
"aminoacyl phosphatidylglycerol","aminoacyl phosphatidylglycerol 氨酰磷脂酰甘油"
"aminoacyl site","aminoacyl site 氨酰基位"
"aminoacyl tRNA","aminoacyl tRNA 氨酰tRNA"
"amino alkyl indole","amino alkyl indole 氨烷基吲哚"
"amino alkyl phosphoramidite","amino alkyl phosphoramidite 氨烷基亚磷酰胺"
"aminobenzoic acid","aminobenzoic acid 氨基苯甲酸"
"aminocephalosporinic acid","aminocephalosporinic acid 氨基头孢菌酸"
"aminoethyl","aminoethyl 氨乙基"
"aminoethyl mercaptan","aminoethyl mercaptan 氨乙基硫醇，巯基乙胺"
"aminoglucose","aminoglucose 氨基葡糖"
"aminoglycoside antibiotics","aminoglycoside antibiotics 氨基糖苷（类）抗生素"
"aminoglycoside phosphotransferase","aminoglycoside phosphotransferase 氨基糖苷磷酸转移酶"
"aminoguanidine","aminoguanidine 氨基胍"
"aminolink","aminolink 氨基连接臂[例如附于合成寡核苷酸的5'端，便于与其他配体偶联]"
"aminolysis","aminolysis 氨解"
"aminomycin","aminomycin 氨基霉素，缬氨霉素"
"amino nigrogen","amino nigrogen 氨基氮"
"aminooimidazole","aminooimidazole 氨基咪唑"
"aminopenicillanic acid","aminopenicillanic acid 氨基青酶烷酸"
"aminopeptidase","aminopeptidase 氨肽酶"
"aminophylline","aminophylline 氨茶碱"
"aminopterin","aminopterin 氨基蝶呤"
"aminopterin","aminopterin 氨基蝶呤"
"aminopurine","aminopurine 氨基嘌呤"
"aminotransferase","aminotransferase 氨基转移酶，转氨酶"
"aminotriazole","aminotriazole 氨基三唑，杀草强"
"amiodarone","amiodarone 乙胺碘呋酮"
"amitosis","amitosis 无丝分裂"
"amitosis","amitosis 无丝分裂"
"amixis","amixis 无融合"
"amixis","amixis 无融合"
"ammonia","ammonia 氨"
"ammonification","ammonification 氨化（作用）"
"ammonio","ammonio 铵基"
"ammonium","ammonium 铵"
"ammonium acetate","ammonium acetate 乙酸铵"
"ammonium hydroxide","ammonium hydroxide 氢氧化铵，氨水"
"ammonium persulfate","ammonium persulfate 过硫酸氨"
"ammonium sulfate","ammonium sulfate 硫酸铵"
"ammonium sulfate fractionation","ammonium sulfate fractionation 硫酸铵分级分离"
"ammonium sulfate precipitation","ammonium sulfate precipitation 硫酸铵沉淀"
"ammonotelism","ammonotelism 排氨型代谢"
"amniocentesis","amniocentesis 羊膜穿刺（术）"
"amnion","amnion 羊膜"
"amniota","amniota 羊膜动物"
"amoeba","amoeba 变形虫，阿米巴"
"amoeboid movement","amoeboid movement 变形运动"
"amoeboid movement","amoeboid movement 变形运动"
"amorphous material","amorphous material 无定形物，非晶态"
"amphiastral mitosis","amphiastral mitosis 双星有丝分裂"
"amphiastral mitosis","amphiastral mitosis 双星有丝分裂"
"amphibia","amphibia 两栖纲"
"amphibivalent","amphibivalent 双二价体"
"amphibolic pathway","amphibolic pathway 两用代谢途径[即可用于代谢物分解又可用于合成]"
"amphidiploid","amphidiploid 双二倍体"
"amphidiploid","amphidiploid 双二倍体"
"amphidiploidy","amphidiploidy 双二倍性"
"amphidiploidy","amphidiploidy 双二倍性"
"amphigenesis","amphigenesis 两性生殖"
"amphiglycan","amphiglycan 双栖蛋白聚糖[同时见于上皮及成纤维细胞]"
"amphihaploidy","amphihaploidy 双倍体"
"amphimixis","amphimixis 两性融合"
"amphimixix","amphimixix 两性融合"
"amphion","amphion 两性离子"
"amphipathic","amphipathic 两亲的"
"amphipathicity","amphipathicity 两亲性"
"amphipathy","amphipathy 两亲性"
"amphiphilic","amphiphilic 两亲的"
"amphiphilicity","amphiphilicity 两亲性[一个分子中一部分亲水，另一部分疏水]"
"amphipolyploid","amphipolyploid 双多倍体"
"amphipolyploidy","amphipolyploidy 双多倍性"
"amphi position","amphi position 远位"
"amphiprotic","amphiprotic 两性的"
"amphiregulin","amphiregulin 双调蛋白[与EGF家族同源的一种双功能生长调节蛋白]"
"amphitrophy","amphitrophy 兼性营养"
"amphivalency","amphivalency 异配现象[用于配位化学]"
"ampholine","ampholine [商]两性电解质Ampholine[Pharmacia公司商品，可用于等电聚焦]"
"ampholyte","ampholyte 两性物，两性电解质"
"ampholytoid","ampholytoid 两性胶体"
"amphoteric character","amphoteric character 兼性性质"
"amphoteric characteristics","amphoteric characteristics 兼性性质[兼有酸碱性或正负电贺]"
"amphoteric colloid","amphoteric colloid 兼性胶体"
"amphoteric emulsifier","amphoteric emulsifier 兼性乳化剂，两性乳化剂"
"amphotericin","amphotericin 两性霉素"
"amphoteric ion","amphoteric ion 兼性离子"
"amphoterics","amphoterics 兼性表面活性剂"
"amphotropic retrovirus","amphotropic retrovirus 兼嗜性逆转录病毒，双嗜性逆转录病毒[既能在宿主细胞又能在异种细胞上引起产毒性感染]"
"ampicillin","ampicillin 氨苄青霉素"
"amplicon","amplicon 扩增子"
"amplicon","amplicon 扩增子"
"amplification","amplification 扩增"
"amplimer","amplimer 扩增引物"
"ampoule","ampoule 安瓿瓶"
"amycin","amycin 阿霉素"
"amygdalin","amygdalin 扁桃苷，苦杏仁苷"
"amylase","amylase 淀粉酶[包括糖化酶和麦芽糖化酶]"
"amylin","amylin 糊精"
"amylodextrin","amylodextrin 极限糊精"
"amyloglucosidase","amyloglucosidase 淀粉葡糖苷酶"
"amyloid protein precursor","amyloid protein precursor 淀粉样蛋白前体"
"amyloid ring","amyloid ring 淀粉质环"
"amylolytic activity","amylolytic activity 淀粉分解活性"
